! (C) Copyright TOSHIBA CORPORATION 2016
! Date: 		2003-01-20
! Part Number: 		2SK3475
! Model:		RF-MOSFET


!          2SK3475         20030120

VAR        vds = 3.0

VAR        id = 0.010

!          REM     DATA    NUMBER = 1

BEGIN      ACDATA

#          HZ      S       MA      R            50

% F        n11x    n11y    n21x    n21y    n12x    n12y    n22x    n22y

 1950000000  0.897   171.5   0.218    -9.8  0.0219   -77.3   0.921   166.0

 2000000000  0.898   170.9   0.216   -11.5  0.0212   -78.7   0.922   165.6

END ACDATA



VAR        vds = 3.0

VAR        id = 0.050

!          REM     DATA    NUMBER = 4

BEGIN      ACDATA

#          HZ      S       MA      R            50

% F        n11x    n11y    n21x    n21y    n12x    n12y    n22x    n22y

   50000000  0.948   -35.8  10.066   151.4  0.0350    61.8   0.458   -58.5

  100000000  0.852   -64.3   8.189   129.1  0.0571    40.2   0.540   -94.5

  150000000  0.780   -84.6   6.534   112.7  0.0686    24.5   0.597  -115.1

  200000000  0.738   -99.2   5.291   101.2  0.0728    13.2   0.635  -127.7

  250000000  0.716  -109.7   4.414    91.0  0.0758     4.0   0.664  -136.1

  300000000  0.708  -118.0   3.698    82.5  0.0755    -4.1   0.688  -142.1

  350000000  0.709  -124.5   3.166    74.9  0.0747   -10.1   0.708  -146.7

  400000000  0.714  -129.9   2.707    68.1  0.0737   -16.1   0.726  -150.4

  450000000  0.722  -134.4   2.353    62.7  0.0713   -21.4   0.742  -153.5

  500000000  0.732  -138.4   2.076    57.1  0.0692   -25.7   0.757  -156.3

  550000000  0.742  -142.0   1.822    51.8  0.0672   -29.9   0.772  -158.7

  600000000  0.753  -145.2   1.604    47.4  0.0648   -33.8   0.785  -160.8

  650000000  0.764  -148.2   1.426    43.6  0.0624   -37.4   0.797  -162.8

  700000000  0.775  -151.0   1.280    40.2  0.0600   -40.9   0.807  -164.7

  750000000  0.784  -153.5   1.160    37.0  0.0575   -44.4   0.817  -166.5

  800000000  0.794  -155.9   1.064    33.9  0.0542   -47.7   0.825  -168.2

  850000000  0.803  -158.1   0.977    30.3  0.0513   -49.5   0.833  -169.8

  900000000  0.811  -160.1   0.891    27.0  0.0491   -51.3   0.841  -171.4

  950000000  0.819  -162.1   0.821    23.9  0.0470   -53.1   0.847  -172.9

 1000000000  0.825  -163.9   0.752    20.7  0.0453   -54.8   0.853  -174.3

 1050000000  0.831  -165.7   0.690    18.1  0.0434   -57.0   0.858  -175.6

 1100000000  0.838  -167.5   0.637    15.5  0.0412   -58.8   0.863  -177.0

 1150000000  0.843  -169.1   0.588    13.2  0.0393   -60.1   0.868  -178.2

 1200000000  0.848  -170.7   0.546    11.0  0.0375   -61.3   0.872  -179.4

 1250000000  0.854  -172.2   0.506     8.8  0.0359   -62.4   0.876   179.4

 1300000000  0.858  -173.7   0.469     7.0  0.0344   -63.3   0.879   178.2

 1350000000  0.863  -175.1   0.436     5.8  0.0331   -64.0   0.883   177.1

 1400000000  0.866  -176.6   0.413     4.7  0.0320   -65.1   0.886   176.0

 1450000000  0.869  -177.9   0.390     2.8  0.0307   -66.4   0.889   174.9

 1500000000  0.873  -179.2   0.366     1.2  0.0293   -67.4   0.892   173.8

 1550000000  0.876   179.5   0.342     0.2  0.0280   -67.8   0.895   172.8

 1600000000  0.878   178.2   0.325     0.1  0.0271   -67.9   0.897   171.7

 1650000000  0.881   176.9   0.317    -0.5  0.0264   -69.1   0.900   170.7

 1700000000  0.883   175.7   0.307    -2.7  0.0253   -70.7   0.902   169.7

 1750000000  0.884   174.5   0.292    -4.8  0.0240   -71.6   0.905   168.7

 1800000000  0.886   173.4   0.277    -5.6  0.0228   -71.8   0.907   167.7

 1850000000  0.888   172.2   0.267    -5.9  0.0220   -71.7   0.909   166.7

 1900000000  0.889   171.6   0.265    -6.0  0.0218   -72.2   0.910   166.2

 1950000000  0.890   171.1   0.265    -6.8  0.0215   -73.2   0.911   165.7

 2000000000  0.891   170.6   0.263    -8.6  0.0209   -74.5   0.913   165.3

END ACDATA



VAR        vds = 3.0

VAR        id = 0.070

!          REM     DATA    NUMBER = 5

BEGIN      ACDATA

#          HZ      S       MA      R            50

% F        n11x    n11y    n21x    n21y    n12x    n12y    n22x    n22y

   50000000  0.946   -37.3  10.778   151.3  0.0329    61.6   0.394   -67.1

  100000000  0.850   -66.7   8.728   129.0  0.0534    40.2   0.506  -102.5

  150000000  0.778   -87.4   6.943   113.0  0.0640    24.8   0.577  -121.7

  200000000  0.736  -102.1   5.626   101.8  0.0679    13.8   0.621  -133.1

  250000000  0.714  -112.7   4.691    91.7  0.0708     4.9   0.653  -140.7

  300000000  0.706  -120.8   3.936    83.5  0.0706    -2.8   0.677  -146.1

  350000000  0.705  -127.2   3.376    76.1  0.0700    -8.7   0.697  -150.2

  400000000  0.709  -132.4   2.892    69.6  0.0693   -14.6   0.715  -153.5

  450000000  0.716  -136.8   2.522    64.3  0.0672   -19.6   0.731  -156.2

  500000000  0.725  -140.6   2.229    58.8  0.0654   -23.8   0.746  -158.7

  550000000  0.735  -144.0   1.961    53.6  0.0636   -27.9   0.760  -160.8

  600000000  0.745  -147.1   1.732    49.3  0.0615   -31.7   0.773  -162.8

  650000000  0.755  -149.9   1.543    45.6  0.0594   -35.2   0.785  -164.6

  700000000  0.766  -152.5   1.390    42.2  0.0573   -38.6   0.796  -166.3

  750000000  0.775  -154.9   1.262    39.1  0.0550   -42.2   0.805  -167.9

  800000000  0.785  -157.1   1.160    36.0  0.0520   -45.3   0.814  -169.5

  850000000  0.794  -159.2   1.068    32.4  0.0492   -47.3   0.822  -171.0

  900000000  0.802  -161.2   0.975    29.1  0.0473   -49.0   0.830  -172.5

  950000000  0.810  -163.1   0.899    26.0  0.0454   -50.8   0.836  -173.9

 1000000000  0.817  -164.8   0.825    22.8  0.0438   -52.6   0.842  -175.2

 1050000000  0.824  -166.5   0.758    20.2  0.0420   -54.8   0.847  -176.5

