! (C) Copyright TOSHIBA CORPORATION 2016
! Date: 		2003-01-20
! Part Number: 		2SK3475
! Model:		RF-MOSFET


!          2SK3475         20030120

VAR        vds = 3.0

VAR        id = 0.010

!          REM     DATA    NUMBER = 1

BEGIN      ACDATA

#          HZ      S       MA      R            50

% F        n11x    n11y    n21x    n21y    n12x    n12y    n22x    n22y


  200000000  0.755  -101.7   7.271   104.6  0.0638    16.6   0.607  -118.4

  250000000  0.731  -112.6   6.117    94.9  0.0671     7.7   0.626  -127.9

  300000000  0.720  -121.1   5.165    86.8  0.0674     0.0   0.644  -134.6

  350000000  0.716  -127.7   4.457    79.6  0.0672    -5.6   0.660  -139.7

  400000000  0.718  -133.0   3.844    73.1  0.0667   -11.5   0.676  -143.8

  450000000  0.722  -137.4   3.363    67.8  0.0651   -16.5   0.690  -147.2

  500000000  0.728  -141.3   2.988    62.5  0.0636   -20.7   0.705  -150.1

  550000000  0.736  -144.7   2.643    57.3  0.0622   -24.8   0.719  -152.7

  600000000  0.744  -147.7   2.343    53.0  0.0604   -28.6   0.733  -155.1

  650000000  0.753  -150.5   2.095    49.2  0.0586   -32.1   0.746  -157.2

  700000000  0.763  -153.0   1.891    45.8  0.0568   -35.5   0.758  -159.2

  750000000  0.772  -155.3   1.721    42.7  0.0547   -39.0   0.768  -161.1

  800000000  0.780  -157.5   1.584    39.7  0.0519   -42.1   0.779  -162.9

  850000000  0.788  -159.5   1.463    36.1  0.0494   -44.0   0.788  -164.6

  900000000  0.795  -161.4   1.340    32.8  0.0475   -45.7   0.797  -166.3

  950000000  0.803  -163.2   1.239    29.7  0.0458   -47.6   0.805  -167.9

 1000000000  0.810  -164.9   1.141    26.5  0.0444   -49.4   0.812  -169.4

 1050000000  0.816  -166.6   1.051    23.7  0.0427   -51.7   0.819  -170.8

 1100000000  0.823  -168.2   0.973    21.1  0.0407   -53.5   0.825  -172.2

 1150000000  0.829  -169.8   0.901    18.7  0.0390   -54.9   0.831  -173.6

 1200000000  0.834  -171.3   0.838    16.4  0.0374   -56.2   0.836  -174.9

 1250000000  0.839  -172.8   0.779    14.2  0.0359   -57.3   0.841  -176.1

 1300000000  0.844  -174.2   0.723    12.2  0.0344   -58.2   0.846  -177.4

 1350000000  0.849  -175.6   0.673    10.9  0.0332   -58.8   0.851  -178.6

 1400000000  0.853  -176.9   0.637     9.7  0.0323   -60.1   0.855  -179.7

 1450000000  0.856  -178.2   0.604     7.8  0.0311   -61.4   0.860   179.1

 1500000000  0.860  -179.5   0.566     6.0  0.0297   -62.4   0.864   178.0

 1550000000  0.864   179.3   0.530     4.8  0.0284   -62.9   0.868   176.9

 1600000000  0.867   178.0   0.503     4.6  0.0277   -63.1   0.872   175.8

 1650000000  0.869   176.8   0.489     4.0  0.0271   -64.5   0.875   174.7

 1700000000  0.872   175.6   0.475     1.9  0.0260   -66.3   0.879   173.6

 1750000000  0.874   174.5   0.453    -0.3  0.0247   -67.3   0.882   172.6

 1800000000  0.876   173.3   0.429    -1.3  0.0236   -67.5   0.885   171.5

 1850000000  0.878   172.2   0.414    -1.6  0.0228   -67.5   0.888   170.5

 1900000000  0.879   171.6   0.411    -1.6  0.0226   -68.0   0.890   170.0

 1950000000  0.880   171.1   0.411    -2.5  0.0223   -69.1   0.892   169.5

 2000000000  0.881   170.6   0.408    -4.2  0.0217   -70.4   0.894   169.0

END ACDATA



VAR        vds = 7.0

VAR        id = 0.100

!          REM     DATA    NUMBER = 38

BEGIN      ACDATA

#          HZ      S       MA      R            50

% F        n11x    n11y    n21x    n21y    n12x    n12y    n22x    n22y

   50000000  0.952   -37.9  14.511   152.5  0.0283    62.9   0.472   -53.6

  100000000  0.863   -68.0  11.848   130.9  0.0463    42.1   0.526   -89.3

  150000000  0.795   -89.4   9.498   115.3  0.0560    27.3   0.565  -110.7

  200000000  0.753  -104.6   7.725   104.6  0.0598    16.8   0.592  -123.9

  250000000  0.729  -115.5   6.487    95.1  0.0629     8.2   0.614  -132.7

  300000000  0.718  -123.9   5.478    87.2  0.0631     0.8   0.633  -138.8

  350000000  0.714  -130.3   4.728    80.2  0.0630    -4.7   0.650  -143.5

  400000000  0.714  -135.4   4.081    73.9  0.0628   -10.3   0.665  -147.2

  450000000  0.718  -139.7   3.578    68.9  0.0613   -15.2   0.680  -150.2

  500000000  0.724  -143.5   3.184    63.7  0.0601   -19.1   0.694  -152.9

  550000000  0.731  -146.7   2.821    58.6  0.0588   -23.1   0.708  -155.2

  600000000  0.739  -149.6   2.507    54.4  0.0572   -26.8   0.722  -157.3

  650000000  0.747  -152.2   2.246    50.7  0.0556   -30.2   0.734  -159.2

  700000000  0.756  -154.6   2.032    47.4  0.0539   -33.5   0.746  -161.0

  750000000  0.765  -156.8   1.853    44.3  0.0521   -37.0   0.756  -162.8

  800000000  0.773  -158.9   1.710    41.3  0.0496   -40.1   0.766  -164.5

  850000000  0.781  -160.8   1.580    37.7  0.0472   -41.9   0.776  -166.1

  900000000  0.788  -162.6   1.450    34.5  0.0456   -43.7   0.785  -167.7

  950000000  0.796  -164.3   1.342    31.3  0.0439   -45.5   0.792  -169.1

 1000000000  0.803  -166.0   1.237    28.1  0.0426   -47.3   0.799  -170.5

 1050000000  0.809  -167.6   1.141    25.4  0.0411   -49.5   0.806  -171.9

 1100000000  0.816  -169.1   1.057    22.8  0.0392   -51.3   0.812  -173.2

 1150000000  0.822  -170.6   0.980    20.4  0.0376   -52.6   0.817  -174.5

 1200000000  0.827  -172.1   0.912    18.1  0.0361   -53.9   0.823  -175.7

 1250000000  0.832  -173.5   0.848    15.9  0.0347   -54.9   0.828  -176.9

 1300000000  0.837  -174.9   0.788    13.9  0.0334   -55.9   0.833  -178.1

 1350000000  0.842  -176.2   0.735    12.6  0.0323   -56.5   0.838  -179.2

 1400000000  0.847  -177.5   0.696    11.4  0.0314   -57.7   0.843   179.6

 1450000000  0.850  -178.8   0.660     9.5  0.0303   -59.0   0.847   178.5

 1500000000  0.854   180.0   0.619     7.6  0.0290   -59.9   0.852   177.5

 1550000000  0.858   178.8   0.580     6.5  0.0278   -60.4   0.856   176.4

 1600000000  0.861   177.6   0.552     6.3  0.0271   -60.6   0.860   175.3

 1650000000  0.864   176.4   0.537     5.6  0.0265   -61.7   0.865   174.3

 1700000000  0.867   175.2   0.522     3.5  0.0254   -63.4   0.868   173.2

 1750000000  0.869   174.1   0.497     1.3  0.0242   -64.3   0.872   172.2

 1800000000  0.871   173.0   0.472     0.3  0.0231   -64.5   0.876   171.2

 1850000000  0.873   171.8   0.456    -0.1  0.0224   -64.5   0.879   170.2

 1900000000  0.875   171.3   0.452    -0.1  0.0222   -64.9   0.881   169.7

 1950000000  0.876   170.8   0.453    -1.0  0.0219   -65.9   0.883   169.2

 2000000000  0.877   170.3   0.449    -2.7  0.0213   -67.2   0.885   168.7

END ACDATA



VAR        vds = 7.0

VAR        id = 0.150

!          REM     DATA    NUMBER = 39

BEGIN      ACDATA

#          HZ      S       MA      R            50

% F        n11x    n11y    n21x    n21y    n12x    n12y    n22x    n22y

   50000000  0.951   -39.4  15.388   152.2  0.0267    62.5   0.408   -61.1

  100000000  0.862   -70.4  12.488   130.6  0.0435    41.9   0.492   -97.4

  150000000  0.794   -92.0   9.957   115.2  0.0522    27.3   0.547  -117.7

  200000000  0.755  -107.4   8.095   104.7  0.0558    17.1   0.581  -129.9

  250000000  0.731  -118.3   6.787    95.4  0.0586     8.8   0.606  -137.9

  300000000  0.720  -126.5   5.733    87.8  0.0588     1.6   0.626  -143.4

  350000000  0.715  -132.8   4.951    81.0  0.0588    -3.6   0.643  -147.6

  400000000  0.715  -137.8   4.278    74.9  0.0587    -9.1   0.658  -150.8

  450000000  0.718  -142.0   3.759    70.0  0.0575   -13.7   0.672  -153.6

  500000000  0.723  -145.6   3.350    64.9  0.0565   -17.5   0.686  -155.9

  550000000  0.729  -148.7   2.972    60.0  0.0554   -21.4   0.699  -158.0

  600000000  0.736  -151.5   2.647    55.9  0.0540   -24.9   0.712  -159.8

  650000000  0.744  -154.0   2.378    52.3  0.0526   -28.3   0.725  -161.6

  700000000  0.753  -156.3   2.156    49.0  0.0512   -31.5   0.735  -163.2

  750000000  0.760  -158.4   1.971    46.0  0.0495   -34.9   0.746  -164.8

  800000000  0.768  -160.3   1.821    43.0  0.0472   -37.8   0.755  -166.4

  850000000  0.776  -162.2   1.686    39.4  0.0451   -39.6   0.764  -167.9

  900000000  0.783  -163.9   1.549    36.1  0.0436   -41.3   0.772  -169.3

  950000000  0.791  -165.5   1.435    33.0  0.0421   -43.1   0.780  -170.7

 1000000000  0.797  -167.1   1.324    29.8  0.0410   -44.8   0.786  -172.0

 1050000000  0.803  -168.6   1.223    27.1  0.0395   -47.1   0.792  -173.3

 1100000000  0.810  -170.1   1.134    24.5  0.0378   -48.8   0.797  -174.5

 1150000000  0.816  -171.5   1.051    22.2  0.0362   -50.1   0.803  -175.7

 1200000000  0.821  -172.9   0.980    19.9  0.0348   -51.3   0.808  -176.8

 1250000000  0.827  -174.3   0.912    17.6  0.0335   -52.3   0.813  -177.9

 1300000000  0.832  -175.6   0.849    15.7  0.0322   -53.2   0.818  -179.0

 1350000000  0.837  -176.9   0.792    14.4  0.0312   -53.8   0.823   179.9

 1400000000  0.841  -178.1   0.751    13.2  0.0303   -55.0   0.828   178.9

 1450000000  0.845  -179.4   0.713    11.2  0.0293   -56.2   0.832   177.8

 1500000000  0.849   179.4   0.669     9.4  0.0281   -57.2   0.837   176.8

 1550000000  0.852   178.2   0.628     8.3  0.0270   -57.5   0.842   175.8

 1600000000  0.855   177.0   0.597     8.1  0.0263   -57.6   0.846   174.8

 1650000000  0.859   175.9   0.581     7.4  0.0257   -58.8   0.851   173.8

 1700000000  0.861   174.7   0.565     5.2  0.0247   -60.4   0.855   172.8

 1750000000  0.863   173.6   0.539     3.1  0.0236   -61.1   0.860   171.8

 1800000000  0.866   172.5   0.512     2.0  0.0226   -61.3   0.864   170.8

 1850000000  0.868   171.4   0.495     1.6  0.0219   -61.2   0.868   169.8

 1900000000  0.869   170.9   0.491     1.5  0.0217   -61.7   0.871   169.3

 1950000000  0.871   170.4   0.491     0.7  0.0215   -62.7   0.873   168.8

 2000000000  0.872   169.9   0.488    -1.1  0.0209   -64.0   0.875   168.4

END ACDATA



VAR        vds = 7.0

VAR        id = 0.200

!          REM     DATA    NUMBER = 40

BEGIN      ACDATA

#          HZ      S       MA      R            50

% F        n11x    n11y    n21x    n21y    n12x    n12y    n22x    n22y

   50000000  0.952   -40.2  15.747   152.2  0.0256    62.6   0.364   -67.9

  100000000  0.863   -71.6  12.754   130.5  0.0415    41.9   0.472  -103.6

  150000000  0.796   -93.5  10.145   115.3  0.0499    27.4   0.537  -122.6

  200000000  0.758  -108.8   8.248   104.9  0.0532    17.5   0.576  -134.0

  250000000  0.735  -119.7   6.911    95.7  0.0559     9.3   0.604  -141.4

  300000000  0.723  -128.0   5.839    88.2  0.0561     2.3   0.624  -146.5

  350000000  0.718  -134.3   5.045    81.5  0.0562    -2.8   0.641  -150.3

  400000000  0.718  -139.3   4.362    75.5  0.0562    -8.1   0.656  -153.3

  450000000  0.720  -143.4   3.839    70.7  0.0550   -12.7   0.670  -155.8

  500000000  0.724  -146.9   3.424    65.7  0.0541   -16.4   0.683  -158.0

  550000000  0.730  -149.9   3.042    60.9  0.0531   -20.1   0.696  -159.9

  600000000  0.737  -152.6   2.712    56.9  0.0519   -23.6   0.708  -161.6

  650000000  0.744  -155.0   2.440    53.3  0.0507   -26.9   0.720  -163.2

  700000000  0.752  -157.3   2.217    50.1  0.0493   -30.1   0.730  -164.7

  750000000  0.759  -159.4   2.029    47.1  0.0478   -33.5   0.740  -166.2

  800000000  0.766  -161.2   1.877    44.1  0.0456   -36.4   0.749  -167.7

  850000000  0.774  -163.0   1.738    40.5  0.0437   -38.2   0.758  -169.2

  900000000  0.781  -164.7   1.599    37.2  0.0423   -39.8   0.766  -170.5

  950000000  0.788  -166.2   1.483    34.1  0.0409   -41.5   0.772  -171.9

 1000000000  0.795  -167.8   1.368    30.9  0.0398   -43.3   0.778  -173.1

 1050000000  0.801  -169.3   1.264    28.3  0.0385   -45.4   0.783  -174.3

 1100000000  0.807  -170.7   1.173    25.6  0.0368   -47.1   0.788  -175.5

 1150000000  0.813  -172.1   1.088    23.3  0.0354   -48.5   0.793  -176.7

 1200000000  0.818  -173.4   1.014    21.0  0.0340   -49.6   0.798  -177.7

 1250000000  0.823  -174.8   0.945    18.8  0.0327   -50.6   0.802  -178.8

 1300000000  0.828  -176.1   0.879    16.8  0.0315   -51.5   0.807  -179.8

 1350000000  0.833  -177.3   0.821    15.5  0.0305   -52.1   0.812   179.2

 1400000000  0.838  -178.6   0.779    14.3  0.0297   -53.2   0.817   178.2

 1450000000  0.841  -179.8   0.739    12.4  0.0286   -54.3   0.821   177.2

 1500000000  0.845   179.0   0.695    10.6  0.0275   -55.3   0.826   176.3

 1550000000  0.849   177.9   0.652     9.5  0.0264   -55.6   0.831   175.3

 1600000000  0.852   176.7   0.621     9.2  0.0259   -55.6   0.836   174.3

 1650000000  0.855   175.5   0.605     8.5  0.0254   -56.8   0.841   173.3

 1700000000  0.858   174.4   0.588     6.4  0.0244   -58.3   0.846   172.4

 1750000000  0.861   173.3   0.561     4.3  0.0233   -59.0   0.850   171.4

 1800000000  0.863   172.2   0.533     3.2  0.0224   -59.2   0.855   170.4

 1850000000  0.866   171.2   0.516     2.8  0.0217   -59.0   0.860   169.5

 1900000000  0.867   170.6   0.512     2.7  0.0216   -59.5   0.862   169.0

 1950000000  0.868   170.1   0.513     1.8  0.0213   -60.5   0.865   168.5

 2000000000  0.869   169.6   0.509     0.1  0.0208   -61.7   0.867   168.1

END ACDATA



VAR        vds = 8.0

VAR        id = 0.010

!          REM     DATA    NUMBER = 41

BEGIN      ACDATA

#          HZ      S       MA      R            50

% F        n11x    n11y    n21x    n21y    n12x    n12y    n22x    n22y

   50000000  0.978   -25.3   5.666   156.9  0.0356    67.1   0.834   -28.2

  100000000  0.928   -47.9   4.982   136.5  0.0629    47.7   0.812   -52.9

  150000000  0.878   -66.1   4.243   119.6  0.0805    31.5   0.792   -72.6

  200000000  0.841   -80.7   3.534   106.5  0.0886    18.4   0.781   -88.0

  250000000  0.819   -92.3   3.035    95.1  0.0945     7.8   0.780  -100.0

  300000000  0.808  -101.9   2.580    85.0  0.0954    -2.0   0.786  -109.6

  350000000  0.804  -109.9   2.227    76.1  0.0944    -9.4   0.794  -117.4

  400000000  0.805  -116.7   1.912    67.8  0.0932   -16.5   0.803  -123.9

  450000000  0.809  -122.6   1.653    61.3  0.0899   -22.9   0.814  -129.5

  500000000  0.814  -127.8   1.454    54.9  0.0867   -28.0   0.824  -134.4

  550000000  0.820  -132.4   1.274    48.7  0.0836   -32.9   0.834  -138.7

  600000000  0.827  -136.6   1.115    43.5  0.0801   -37.4   0.844  -142.5

  650000000  0.834  -140.4   0.982    39.0  0.0767   -41.5   0.853  -145.9

  700000000  0.841  -143.9   0.875    35.2  0.0734   -45.3   0.860  -149.0

  750000000  0.847  -147.1   0.787    31.7  0.0699   -49.2   0.867  -151.9

  800000000  0.853  -150.0   0.717    28.5  0.0657   -52.7   0.874  -154.5

  850000000  0.859  -152.7   0.657    24.8  0.0616   -54.9   0.880  -157.0

  900000000  0.864  -155.2   0.597    21.3  0.0586   -56.9   0.885  -159.3

  950000000  0.869  -157.5   0.548    18.0  0.0559   -58.8   0.890  -161.5

 1000000000  0.873  -159.7   0.502    14.6  0.0537   -60.7   0.895  -163.5

 1050000000  0.877  -161.8   0.459    11.7  0.0514   -63.0   0.898  -165.4

 1100000000  0.880  -163.8   0.423     9.0  0.0486   -65.0   0.902  -167.2

 1150000000  0.884  -165.6   0.390     6.5  0.0462   -66.4   0.905  -169.0

 1200000000  0.887  -167.4   0.361     4.1  0.0440   -67.8   0.908  -170.6

 1250000000  0.890  -169.2   0.334     1.8  0.0420   -68.9   0.911  -172.2

 1300000000  0.893  -170.8   0.309    -0.2  0.0402   -70.0   0.914  -173.7

 1350000000  0.895  -172.4   0.286    -1.4  0.0386   -70.9   0.916  -175.2

 1400000000  0.897  -173.9   0.270    -2.5  0.0373   -72.1   0.918  -176.6

 1450000000  0.899  -175.4   0.255    -4.4  0.0358   -73.6   0.920  -178.0

 1500000000  0.901  -176.9   0.238    -6.2  0.0341   -74.8   0.922  -179.3

 1550000000  0.903  -178.3   0.222    -7.2  0.0326   -75.4   0.924   179.4

 1600000000  0.904  -179.7   0.211    -7.2  0.0316   -75.7   0.926   178.1

 1650000000  0.906   179.0   0.204    -7.7  0.0308   -77.2   0.927   176.9

 1700000000  0.907   177.7   0.199    -9.7  0.0294   -79.1   0.929   175.7

 1750000000  0.907   176.4   0.189   -11.8  0.0278   -80.3   0.930   174.5

 1800000000  0.908   175.2   0.179   -12.8  0.0265   -80.7   0.931   173.4

 1850000000  0.909   174.0   0.172   -12.8  0.0256   -80.9   0.932   172.2

 1900000000  0.910   173.4   0.171   -12.7  0.0253   -81.5   0.933   171.7

 1950000000  0.911   172.8   0.171   -13.5  0.0250   -82.7   0.934   171.1

 2000000000  0.911   172.3   0.170   -15.2  0.0242   -84.3   0.934   170.6

END ACDATA



VAR        vds = 8.0

VAR        id = 0.020

!          REM     DATA    NUMBER = 42

BEGIN      ACDATA

#          HZ      S       MA      R            50

% F        n11x    n11y    n21x    n21y    n12x    n12y    n22x    n22y

   50000000  0.969   -29.1   8.604   155.6  0.0335    65.7   0.740   -33.1

  100000000  0.903   -54.1   7.396   134.8  0.0577    45.9   0.721   -60.8

  150000000  0.842   -73.4   6.176   118.4  0.0725    30.0   0.707   -81.6

  200000000  0.800   -88.2   5.099   106.1  0.0790    17.6   0.703   -96.9

  250000000  0.775   -99.6   4.345    95.4  0.0837     7.8   0.707  -108.3

  300000000  0.764  -108.8   3.685    86.1  0.0844    -1.2   0.717  -117.1

  350000000  0.761  -116.2   3.182    77.9  0.0837    -8.0   0.729  -124.0

  400000000  0.762  -122.4   2.737    70.3  0.0829   -14.6   0.742  -129.7

  450000000  0.767  -127.7   2.378    64.3  0.0804   -20.5   0.755  -134.6

  500000000  0.773  -132.4   2.100    58.4  0.0779   -25.3   0.768  -138.8

  550000000  0.781  -136.6   1.847    52.6  0.0755   -29.9   0.781  -142.6

  600000000  0.789  -140.3   1.625    47.7  0.0728   -34.2   0.794  -145.9

  650000000  0.798  -143.8   1.440    43.5  0.0700   -38.0   0.806  -148.9

  700000000  0.806  -146.9   1.289    39.9  0.0673   -41.8   0.816  -151.6

  750000000  0.814  -149.8   1.164    36.6  0.0643   -45.6   0.825  -154.2

  800000000  0.822  -152.4   1.064    33.5  0.0606   -49.0   0.834  -156.6

  850000000  0.829  -154.9   0.978    29.8  0.0572   -51.1   0.842  -158.8

  900000000  0.835  -157.1   0.892    26.4  0.0547   -53.0   0.850  -160.9

  950000000  0.841  -159.3   0.821    23.2  0.0523   -54.8   0.857  -162.9

 1000000000  0.847  -161.3   0.753    19.9  0.0503   -56.7   0.863  -164.8

 1050000000  0.853  -163.3   0.691    17.1  0.0483   -59.1   0.868  -166.6

 1100000000  0.858  -165.1   0.637    14.4  0.0458   -61.1   0.873  -168.3

 1150000000  0.863  -166.9   0.588    12.0  0.0437   -62.6   0.878  -169.9

 1200000000  0.867  -168.6   0.545     9.7  0.0417   -63.9   0.882  -171.5

 1250000000  0.871  -170.3   0.505     7.4  0.0399   -65.1   0.886  -173.0

 1300000000  0.874  -171.9   0.467     5.5  0.0382   -66.1   0.890  -174.4

 1350000000  0.878  -173.4   0.433     4.2  0.0368   -66.9   0.894  -175.8

 1400000000  0.881  -174.9   0.409     3.0  0.0356   -68.2   0.897  -177.2

 1450000000  0.883  -176.3   0.387     1.1  0.0341   -69.6   0.900  -178.5

 1500000000  0.886  -177.7   0.362    -0.7  0.0326   -70.8   0.903  -179.8

 1550000000  0.888  -179.0   0.338    -1.7  0.0311   -71.3   0.905   179.0

 1600000000  0.890   179.6   0.320    -1.8  0.0302   -71.7   0.908   177.7

 1650000000  0.892   178.3   0.311    -2.3  0.0295   -73.1   0.910   176.5

 1700000000  0.894   177.1   0.303    -4.4  0.0282   -75.0   0.912   175.4

 1750000000  0.895   175.8   0.288    -6.5  0.0267   -76.1   0.914   174.2

 1800000000  0.897   174.6   0.273    -7.5  0.0255   -76.5   0.916   173.1

 1850000000  0.898   173.4   0.263    -7.6  0.0245   -76.6   0.918   172.0

 1900000000  0.899   172.9   0.261    -7.6  0.0243   -77.2   0.919   171.4

 1950000000  0.900   172.3   0.261    -8.5  0.0240   -78.4   0.920   170.9

 2000000000  0.900   171.8   0.259   -10.2  0.0233   -79.9   0.921   170.4

END ACDATA



VAR        vds = 8.0

VAR        id = 0.030

!          REM     DATA    NUMBER = 43

BEGIN      ACDATA

#          HZ      S       MA      R            50

% F        n11x    n11y    n21x    n21y    n12x    n12y    n22x    n22y

   50000000  0.964   -31.4  10.399   154.8  0.0321    65.0   0.679   -36.7

  100000000  0.891   -57.8   8.820   133.8  0.0545    44.8   0.668   -66.4

  150000000  0.825   -77.7   7.281   117.6  0.0677    29.2   0.661   -87.7

  200000000  0.782   -92.7   5.984   105.8  0.0734    17.4   0.663  -102.8

  250000000  0.757  -104.0   5.078    95.4  0.0775     7.8   0.672  -113.8

  300000000  0.745  -112.9   4.302    86.5  0.0780    -0.7   0.684  -122.0

  350000000  0.741  -120.1   3.715    78.7  0.0776    -7.1   0.698  -128.4

  400000000  0.743  -126.0   3.199    71.6  0.0770   -13.4   0.712  -133.6

  450000000  0.748  -131.0   2.788    65.9  0.0748   -19.0   0.726  -138.0

  500000000  0.754  -135.4   2.469    60.1  0.0728   -23.6   0.740  -141.9

  550000000  0.762  -139.2   2.177    54.6  0.0707   -28.1   0.754  -145.3

  600000000  0.771  -142.7   1.921    49.8  0.0684   -32.2   0.768  -148.3

  650000000  0.779  -145.9   1.708    45.8  0.0660   -35.9   0.780  -151.0

  700000000  0.789  -148.8   1.533    42.3  0.0636   -39.6   0.791  -153.5

  750000000  0.797  -151.5   1.388    39.0  0.0610   -43.3   0.802  -155.9

  800000000  0.805  -154.0   1.272    36.0  0.0576   -46.6   0.811  -158.1

  850000000  0.813  -156.4   1.171    32.3  0.0544   -48.6   0.820  -160.2

  900000000  0.820  -158.5   1.070    29.0  0.0522   -50.5   0.829  -162.2

  950000000  0.827  -160.5   0.986    25.8  0.0501   -52.4   0.837  -164.0

 1000000000  0.834  -162.5   0.906    22.5  0.0484   -54.2   0.844  -165.8

 1050000000  0.839  -164.3   0.832    19.8  0.0465   -56.6   0.850  -167.5

 1100000000  0.845  -166.1   0.769    17.1  0.0442   -58.4   0.856  -169.1

 1150000000  0.850  -167.8   0.710    14.7  0.0422   -59.9   0.861  -170.6

 1200000000  0.855  -169.5   0.659    12.3  0.0403   -61.2   0.866  -172.1

 1250000000  0.859  -171.1   0.611    10.1  0.0386   -62.3   0.871  -173.6

 1300000000  0.863  -172.6   0.566     8.1  0.0371   -63.3   0.875  -175.0

 1350000000  0.867  -174.0   0.526     6.8  0.0357   -64.2   0.879  -176.3

 1400000000  0.870  -175.5   0.497     5.7  0.0345   -65.5   0.883  -177.6

 1450000000  0.873  -176.9   0.470     3.7  0.0332   -66.9   0.887  -178.9

 1500000000  0.877  -178.2   0.440     1.9  0.0317   -68.1   0.890   179.8

 1550000000  0.879  -179.5   0.411     0.7  0.0302   -68.6   0.893   178.6

 1600000000  0.882   179.2   0.390     0.6  0.0293   -69.0   0.896   177.4

 1650000000  0.884   177.9   0.379     0.0  0.0287   -70.3   0.899   176.2

 1700000000  0.886   176.7   0.368    -2.1  0.0274   -72.2   0.901   175.1

 1750000000  0.888   175.5   0.351    -4.2  0.0260   -73.2   0.904   174.0

 1800000000  0.889   174.3   0.332    -5.2  0.0248   -73.5   0.906   172.9

 1850000000  0.891   173.1   0.320    -5.4  0.0240   -73.7   0.908   171.8

 1900000000  0.892   172.5   0.318    -5.4  0.0238   -74.3   0.910   171.2

 1950000000  0.893   172.0   0.318    -6.2  0.0234   -75.4   0.911   170.7

 2000000000  0.894   171.4   0.316    -7.9  0.0228   -76.8   0.912   170.2

END ACDATA



VAR        vds = 8.0

VAR        id = 0.050

!          REM     DATA    NUMBER = 44

BEGIN      ACDATA

#          HZ      S       MA      R            50

% F        n11x    n11y    n21x    n21y    n12x    n12y    n22x    n22y

   50000000  0.959   -34.2  12.547   153.8  0.0301    64.2   0.597   -42.0

  100000000  0.877   -62.3  10.470   132.6  0.0504    43.7   0.604   -74.3

  150000000  0.810   -83.0   8.534   116.7  0.0619    28.5   0.612   -96.2

  200000000  0.767   -98.1   6.981   105.4  0.0666    17.3   0.623  -110.8

  250000000  0.742  -109.3   5.899    95.5  0.0702     8.2   0.637  -121.0

  300000000  0.730  -117.9   4.992    87.1  0.0707     0.1   0.652  -128.5

  350000000  0.726  -124.8   4.311    79.7  0.0704    -5.9   0.667  -134.2

  400000000  0.727  -130.3   3.719    72.9  0.0700   -11.9   0.682  -138.8

  450000000  0.731  -135.0   3.252    67.5  0.0682   -17.1   0.697  -142.6

  500000000  0.737  -139.0   2.886    62.1  0.0665   -21.4   0.712  -146.0

  550000000  0.745  -142.6   2.551    56.7  0.0649   -25.7   0.726  -148.9

  600000000  0.753  -145.8   2.259    52.2  0.0630   -29.6   0.740  -151.5

  650000000  0.762  -148.7   2.017    48.4  0.0611   -33.1   0.753  -153.9

  700000000  0.772  -151.4   1.817    44.9  0.0591   -36.7   0.765  -156.1

  750000000  0.780  -153.9   1.651    41.7  0.0569   -40.3   0.776  -158.2

  800000000  0.789  -156.2   1.518    38.7  0.0539   -43.5   0.786  -160.2

  850000000  0.797  -158.3   1.400    35.1  0.0511   -45.5   0.796  -162.1

  900000000  0.804  -160.3   1.282    31.8  0.0492   -47.3   0.805  -163.9

  950000000  0.811  -162.2   1.184    28.7  0.0472   -49.1   0.813  -165.6

 1000000000  0.818  -164.0   1.090    25.4  0.0457   -50.9   0.820  -167.2

 1050000000  0.824  -165.7   1.003    22.7  0.0440   -53.2   0.827  -168.8

 1100000000  0.830  -167.4   0.928    20.0  0.0419   -55.1   0.833  -170.3

 1150000000  0.836  -169.0   0.858    17.6  0.0401   -56.4   0.839  -171.8

 1200000000  0.841  -170.6   0.798    15.2  0.0384   -57.8   0.845  -173.2

 1250000000  0.846  -172.1   0.741    13.0  0.0368   -58.9   0.850  -174.5

 1300000000  0.850  -173.5   0.687    11.0  0.0354   -59.9   0.855  -175.8

 1350000000  0.855  -174.9   0.640     9.7  0.0341   -60.7   0.860  -177.1

 1400000000  0.859  -176.3   0.605     8.5  0.0331   -62.0   0.864  -178.3

 1450000000  0.862  -177.7   0.573     6.6  0.0318   -63.3   0.868  -179.6

 1500000000  0.866  -179.0   0.537     4.8  0.0305   -64.4   0.872   179.3

 1550000000  0.869   179.8   0.503     3.6  0.0291   -64.9   0.876   178.1

 1600000000  0.872   178.5   0.477     3.4  0.0283   -65.2   0.880   176.9

